job_class,sum
项目管理电子工程师/技术员,2
生产文员技术文员/助理,1
给排水/暖通工程暖通设计,2
经销商渠道/分销专员,1
市场/营销/拓展经理销售行政经理/主管,1
商务主管/专员客服专员/助理,1
技术文员/助理网络工程师,1
技术支持/维护工程师软件测试工程师,2
供应商管理质量管理/测试工程师,5
电池/电源开发嵌入式硬件开发,1
平面设计师工业设计/产品设计,1
电气工程师/技术员机械工程师,1
生物工程/生物制药化工技术应用/化工工程师,1
产品工艺/制程工程师项目管理,4
电子工程师/技术员设备主管,1
业务拓展主管/经理FAE 现场应用工程师,1
机械工程师工程/设备工程师,6
市场/营销/拓展经理产品/品牌经理,6
电工装配工程师/技师,1
FAE 现场应用工程师产品/品牌经理,2
网络销售/在线销售大客户管理,1
科研人员技术文员/助理,1
售前/售后技术支持经理售前/售后技术支持工程师,3
材料工程师产品工艺/制程工程师,2
业务拓展主管/经理供应商开发,1
企业文化/员工关系/工会管理,58
图书管理员/资料管理员,1
半导体工艺工程师电池/电源开发,1
行政专员/助理总裁助理/总经理助理,1
生产计划/物料管理物料主管/专员,7
项目管理电路工程师/技术员,1
电气工程师/技术员销售代表,1
通信技术工程师集成电路IC设计/应用工程师,2
故障分析工程师电路工程师/技术员,1
工程/设备工程师夹具工程师/技师,1
生产计划/物料管理业务分析专员/助理,2
成本经理/成本主管成本管理员,6
模拟芯片工程师电声/音响工程师/技术员,1
模拟芯片工程师集成电路IC设计/应用工程师,28
产品工艺/制程工程师工业工程师,4
电气工程师/技术员组装工,1
产品规划工程师工程/机械绘图员,1
售前/售后技术支持工程师业务分析经理/主管,2
高级软件工程师售前/售后技术支持主管,1
硬件工程师技术支持/维护工程师,3
售前/售后技术支持工程师机器视觉工程师,1
医疗器械市场推广市场/营销/拓展专员,1
影视策划/制作人员后期制作,1
工程/机械绘图员电气工程师/技术员,1
项目总监轨道交通工程师/技术员,1
技术支持/维护工程师网站维护工程师,2
财务分析员财务分析经理/主管,1
注塑工程师/技师,7
生产经理/车间主任生产主管,9
客服专员/助理销售行政专员,4
嵌入式硬件开发电子/电器维修工程师/技师,1
电工普工/操作工,2
电子工程师/技术员半导体工艺工程师,4
副总经理/副总裁,10
财务经理成本经理/成本主管,1
市场/营销/拓展经理市场企划经理/主管,3
业务分析经理/主管大客户管理,1
销售主管渠道/分销主管,1
C/C++开发工程师.NET开发工程师,3
实验室负责人/工程师质量管理/测试工程师,2
首席执行官CEO/总裁/总经理总监/部门经理,1
软件测试工程师技术支持/维护工程师,1
工程/设备工程师采购材料、设备质量管理,1
售前/售后技术支持工程师普工/操作工,1
质检员/测试员化验员,1
质检员/测试员审核员,3
客服专员/助理咨询热线/呼叫中心服务人员,5
电气工程师/技术员电力工程师/技术员,4
ERP实施顾问技术支持/维护工程师,2
研发总监/部长/专家,7
电子产品经理/产品工程师电子设备工程师,1
技术研发经理/主管技术研发工程师,3
质量管理/测试工程师故障分析工程师,5
市场/营销/拓展专员产品/品牌专员,3
渠道/分销专员销售工程师,6
机电工程师电气工程师/技术员,1
芯片销售工程师半导体产品经理/产品工程师,4
半导体工艺工程师产品经理/主管,1
化工实验室研究员/技术员质量管理/测试工程师,1
电气工程师/技术员结构工程师,1
系统架构设计师技术总监/经理,2
售前/售后技术支持工程师电子工程师/技术员,2
大客户销售客户经理/主管,2
总监/部门经理首席运营官COO,1
人事助理行政专员/助理,5
保险内勤电脑操作员/打字员,1
电子工程师/技术员安防系统工程师,1
客户经理/主管大客户销售,4
会计财务分析经理/主管,1
硬件测试工程师电声/音响工程师/技术员,1
集成电路IC设计/应用工程师技术研发工程师,2
销售经理贸易/外贸经理/主管,2
模拟芯片工程师电路工程师/技术员,2
电子产品经理/产品工程师半导体产品经理/产品工程师,4
导演/编导影视策划/制作人员,1
工程/机械绘图员空调/热能工程师,1
电力工程师/技术员半导体技术,1
环境/健康/安全经理/主管,13
产品/品牌专员产品/品牌主管,2
餐饮店长/经理,1
质量管理/测试主管供应商管理,2
金融/经济研究员其他,1
项目经理/主管自动控制工程师/技术员,1
网络推广专员网站运营经理/主管,1
客服专员/助理半导体技术,1
嵌入式硬件开发电路工程师/技术员,2
电路工程师/技术员嵌入式硬件开发,3
文案/策划企业策划人员,1
网络推广经理/主管市场企划经理/主管,1
市场/营销/拓展总监销售总监,1
销售经理渠道/分销专员,3
集成电路IC设计/应用工程师高级软件工程师,2
业务分析专员/助理,12
人事经理绩效考核经理/主管,1
工程造价师/预结算经理预结算员,2
供应商管理质检员/测试员,2
体系工程师质量管理/测试主管,4
售前/售后技术支持工程师电子/电器维修工程师/技师,1
项目执行/协调人员技术文档工程师,1
网络/在线客服投诉专员,1
其他咨询热线/呼叫中心服务人员,2
行政专员/助理销售行政助理,2
人事主管招聘经理/主管,2
咨询热线/呼叫中心服务人员其他,1
电子技术研发工程师电气工程师/技术员,1
半导体技术自动控制工程师/技术员,3
项目经理/主管项目管理,6
高级硬件工程师产品经理/主管,2
集成电路IC设计/应用工程师项目执行/协调人员,1
技工电子工程师/技术员,3
硬件测试工程师售前/售后技术支持工程师,1
财务主管/总账主管会计经理/会计主管,8
飞行器设计与制造技术研发经理/主管,1
技术研发工程师技术研发经理/主管,6
技术研发工程师集成电路IC设计/应用工程师,1
售前/售后技术支持工程师网络管理,2
融资经理/融资主管,2
会计经理/会计主管,16
产品工艺/制程工程师冲压工程师/技师,2
电商经理/电商主管,10
FAE 现场应用工程师技术支持/维护工程师,19
产品工艺/制程工程师机电工程师,3
环境/健康/安全工程师安全员,9
电池/电源开发电子工程师/技术员,3
投资/基金项目经理资金经理/主管,1
投资银行财务分析投资/基金项目经理,1
审计专员/助理,14
.NET开发工程师C/C++开发工程师,1
质量管理/测试工程师电子工程师/技术员,1
半导体技术客服专员/助理,1
贸易/外贸经理/主管,27
